grade,subject,level,question,optionA,optionB,optionC,optionD,answer
1,Math,Simple,What is 20 - 10?,12,10,9,11,B
1,Math,Hard,What is 6 × 8?,49,47,48,50,C
1,Math,Easy,What is 2 + 9?,11,12,10,13,A
1,General Knowledge,Simple,How many days are in a week?,Car,Island,7,Forest,C
1,Math,Simple,What is 19 - 10?,8,11,9,10,C
1,Math,Hard,What is 8 × 2?,18,15,17,16,D
1,Science,Simple,Which organ pumps blood?,Book,Tree,Moon,Heart,D
1,Math,Simple,What is 19 - 7?,14,12,11,13,B
1,Math,Easy,What is 5 + 3?,10,9,8,7,C
1,Math,Simple,What is 18 - 10?,7,10,9,8,D
1,Math,Hard,What is 9 × 7?,64,62,65,63,D
1,Math,Hard,What is 6 × 3?,17,18,20,19,B
1,Math,Easy,What is 7 + 7?,13,14,16,15,B
1,Math,Easy,What is 5 + 5?,10,9,11,12,A
1,Math,Hard,What is 3 × 7?,20,23,22,21,D
1,Math,Simple,What is 10 - 3?,7,8,9,6,A
1,Math,Hard,What is 10 × 2?,19,20,21,22,B
1,Math,Easy,What is 2 + 6?,7,10,8,9,C
1,Math,Simple,What is 15 - 5?,9,10,11,12,B
1,Math,Easy,What is 7 + 2?,10,11,8,9,D
1,Math,Simple,What is 20 - 2?,20,17,18,19,C
1,Math,Easy,What is 9 + 3?,12,13,11,14,A
1,Math,Easy,What is 5 + 1?,6,8,7,5,A
1,Math,Simple,What is 13 - 5?,7,8,9,10,B
1,Math,Easy,What is 6 + 8?,14,15,16,13,A
1,Math,Easy,What is 6 + 10?,16,15,17,18,A
1,Math,Simple,What is 19 - 5?,15,14,16,13,B
1,Math,Easy,What is 10 + 10?,21,19,22,20,D
1,Math,Easy,What is 7 + 6?,15,13,12,14,B
1,Math,Hard,What is 7 × 5?,34,36,37,35,D
1,Math,Easy,What is 6 + 4?,10,12,11,9,A
1,Math,Easy,What is 2 + 2?,6,5,3,4,D
1,Math,Hard,What is 9 × 2?,19,17,20,18,D
1,Math,Easy,What is 9 + 7?,16,18,15,17,A
1,Math,Hard,What is 7 × 10?,70,72,69,71,A
1,Math,Simple,What is 17 - 2?,14,17,16,15,D
1,Math,Simple,What is 17 - 7?,9,11,12,10,D
1,Math,Hard,What is 2 × 2?,5,6,4,3,C
1,Math,Hard,What is 3 × 10?,29,31,30,32,C
1,Math,Easy,What is 3 + 2?,5,7,6,4,A
1,Math,Easy,What is 5 + 7?,11,12,14,13,B
1,Math,Easy,What is 2 + 1?,5,2,4,3,D
1,Math,Hard,What is 8 × 8?,64,66,65,63,A
1,Math,Easy,What is 3 + 5?,10,7,8,9,C
1,Math,Hard,What is 4 × 3?,12,11,13,14,A
1,Math,Easy,What is 4 + 2?,8,6,7,5,B
1,Math,Simple,What is 15 - 9?,8,7,5,6,D
1,Math,Hard,What is 3 × 2?,5,6,8,7,B
1,Math,Simple,What is 12 - 3?,11,10,9,8,C
1,Math,Hard,What is 4 × 6?,24,23,26,25,A
1,Math,Hard,What is 11 × 10?,111,109,112,110,D
1,Math,Simple,What is 10 - 9?,1,2,3,0,A
1,Math,Simple,What is 13 - 2?,11,12,13,10,A
1,Math,Hard,What is 4 × 9?,38,35,36,37,C
1,Math,Hard,What is 10 × 5?,52,50,51,49,B
1,Math,Hard,What is 8 × 5?,39,40,41,42,B
1,Math,Easy,What is 6 + 6?,13,12,14,11,B
1,Math,Simple,What is 13 - 7?,5,7,8,6,D
1,Math,Simple,What is 11 - 2?,9,8,10,11,A
1,Math,Simple,What is 19 - 3?,16,17,18,15,A
1,Math,Hard,What is 5 × 7?,34,35,37,36,B
1,Math,Simple,What is 17 - 6?,13,10,11,12,C
1,Math,Simple,What is 10 - 4?,6,5,7,8,A
1,Math,Simple,What is 14 - 7?,9,7,6,8,B
1,Math,Simple,What is 16 - 5?,13,10,12,11,D
1,Math,Hard,What is 6 × 10?,59,61,62,60,D
1,Math,Easy,What is 9 + 4?,14,12,15,13,D
1,Math,Simple,What is 13 - 1?,13,14,12,11,C
1,Math,Hard,What is 5 × 9?,44,46,47,45,D
1,Math,Easy,What is 3 + 4?,9,7,8,6,B
1,Math,Hard,What is 7 × 4?,30,29,28,27,C
1,Math,Hard,What is 11 × 8?,88,89,90,87,A
1,Math,Easy,What is 1 + 10?,13,10,12,11,D
1,Math,Simple,What is 20 - 5?,17,14,15,16,C
1,Math,Simple,What is 10 - 7?,4,3,5,2,B
1,Math,Simple,What is 12 - 2?,11,10,9,12,B
1,Math,Easy,What is 7 + 1?,7,8,10,9,B
1,Math,Simple,What is 19 - 8?,13,10,11,12,C
1,Math,Simple,What is 10 - 6?,6,5,3,4,D
1,Math,Easy,What is 2 + 8?,10,12,11,9,A
1,Math,Simple,What is 14 - 2?,12,14,13,11,A
1,Math,Hard,What is 9 × 10?,91,89,90,92,C
1,Math,Hard,What is 10 × 9?,91,89,90,92,C
1,Math,Easy,What is 6 + 9?,16,14,17,15,D
1,Math,Hard,What is 9 × 5?,47,45,46,44,B
1,Math,Hard,What is 10 × 3?,29,30,31,32,B
1,Math,Simple,What is 16 - 2?,13,15,14,16,C
1,Math,Simple,What is 12 - 4?,10,7,8,9,C
1,Math,Simple,What is 14 - 6?,10,9,8,7,C
1,Math,Simple,What is 10 - 1?,8,11,9,10,C
1,Math,Simple,What is 15 - 8?,8,9,6,7,D
1,Math,Hard,What is 5 × 10?,49,51,50,52,C
1,Math,Hard,What is 4 × 10?,39,41,42,40,D
1,Math,Simple,What is 11 - 3?,10,8,9,7,B
1,Math,Simple,What is 13 - 10?,5,3,4,2,B
1,Math,Easy,What is 5 + 9?,15,14,16,13,B
1,Math,Simple,What is 18 - 6?,11,12,14,13,B
1,Math,Easy,What is 4 + 4?,9,10,7,8,D
1,Math,Easy,What is 5 + 6?,10,11,13,12,B
1,Math,Hard,What is 6 × 5?,29,32,30,31,C
1,Math,Hard,What is 11 × 7?,77,78,76,79,A
1,Math,Easy,What is 7 + 4?,13,12,11,10,C
1,Math,Simple,What is 18 - 7?,10,12,11,13,C
1,Math,Hard,What is 5 × 3?,14,15,17,16,B
1,Math,Hard,What is 3 × 3?,8,9,11,10,B
1,Math,Simple,What is 13 - 8?,4,7,5,6,C
1,Math,Simple,What is 18 - 4?,16,15,14,13,C
1,Math,Hard,What is 6 × 6?,37,38,36,35,C
1,Math,Simple,What is 20 - 7?,13,12,14,15,A
1,Math,Hard,What is 4 × 5?,19,21,22,20,D
1,Math,Simple,What is 15 - 10?,4,6,5,7,C
1,Math,Hard,What is 6 × 2?,13,12,14,11,B
1,Math,Easy,What is 7 + 3?,9,10,11,12,B
1,Math,Simple,What is 13 - 6?,8,9,7,6,C
1,Math,Hard,What is 10 × 7?,71,69,70,72,C
1,Math,Easy,What is 9 + 10?,21,18,20,19,D
1,Math,Hard,What is 7 × 8?,58,55,56,57,C
1,Math,Simple,What is 11 - 5?,8,6,7,5,B
1,Math,Easy,What is 9 + 8?,18,17,16,19,B
1,Math,Simple,What is 19 - 2?,19,17,18,16,B
1,Math,Hard,What is 4 × 7?,27,30,28,29,C
1,Math,Easy,What is 10 + 1?,13,11,10,12,B
1,Math,Simple,What is 18 - 9?,9,8,10,11,A
1,Math,Simple,What is 19 - 9?,12,11,9,10,D
1,Math,Simple,What is 13 - 3?,12,10,9,11,B
1,Math,Easy,What is 5 + 8?,15,14,12,13,D
1,Math,Hard,What is 11 × 4?,44,43,46,45,A
1,Math,Hard,What is 8 × 7?,56,57,58,55,A
1,Math,Simple,What is 14 - 5?,8,9,11,10,B
1,Math,Hard,What is 10 × 4?,42,39,40,41,C
1,Math,Easy,What is 7 + 10?,19,18,16,17,D
1,Math,Easy,What is 8 + 5?,12,13,15,14,B
1,Math,Easy,What is 10 + 2?,12,13,14,11,A
1,Math,Hard,What is 9 × 3?,26,29,28,27,D
1,Math,Simple,What is 14 - 3?,13,12,10,11,D
1,Math,Easy,What is 3 + 8?,10,11,12,13,B
1,Math,Easy,What is 10 + 7?,19,18,16,17,D
1,Math,Easy,What is 6 + 3?,8,11,9,10,C
1,Math,Simple,What is 20 - 9?,13,11,12,10,B
1,Math,Simple,What is 13 - 4?,10,11,8,9,D
1,Math,Simple,What is 16 - 1?,17,14,16,15,D
1,Math,Simple,What is 17 - 1?,18,17,16,15,C
1,Math,Easy,What is 1 + 6?,9,6,7,8,C
1,Math,Simple,What is 11 - 6?,4,6,5,7,C
1,Math,Simple,What is 19 - 1?,19,20,17,18,D
1,Math,Easy,What is 3 + 3?,8,7,5,6,D
1,Math,Easy,What is 7 + 9?,16,15,17,18,A
1,Math,Hard,What is 10 × 8?,80,82,81,79,A
1,Math,Simple,What is 11 - 1?,9,11,10,12,C
1,Math,Easy,What is 3 + 7?,12,10,11,9,B
1,Math,Easy,What is 10 + 5?,15,14,17,16,A
2,Math,Simple,What is 20 - 1?,19,20,21,18,A
2,Math,Simple,What is 21 - 9?,13,11,12,14,C
2,Math,Easy,What is 14 + 2?,18,16,17,15,B
2,Math,Easy,What is 19 + 19?,38,37,39,40,A
2,Math,Easy,What is 7 + 11?,20,18,19,17,B
2,Math,Hard,What is 12 × 5?,61,59,60,62,C
2,Math,Easy,What is 20 + 7?,28,27,26,29,B
2,Math,Hard,What is 6 × 9?,54,53,56,55,A
2,Math,Simple,What is 29 - 7?,21,22,23,24,B
2,Math,Easy,What is 5 + 13?,18,17,19,20,A
2,Math,Easy,What is 1 + 12?,12,13,14,15,B
2,Math,Easy,What is 15 + 14?,30,31,28,29,D
2,Math,Easy,What is 4 + 19?,25,23,22,24,B
2,Math,Hard,What is 2 × 5?,10,12,9,11,A
2,Math,Hard,What is 12 × 7?,84,83,86,85,A
2,Math,Simple,What is 27 - 6?,22,23,20,21,D
2,Math,Simple,What is 28 - 9?,20,19,21,18,B
2,Math,Easy,What is 8 + 3?,11,10,12,13,A
2,Math,Simple,What is 23 - 1?,22,23,24,21,A
2,Math,Easy,What is 9 + 20?,31,29,28,30,B
2,Math,Simple,What is 15 - 2?,12,15,13,14,C
2,Math,Hard,What is 6 × 7?,44,43,42,41,C
2,Math,Simple,What is 27 - 7?,20,19,21,22,A
2,Math,Easy,What is 18 + 14?,33,32,31,34,B
2,Math,Easy,What is 8 + 20?,27,30,29,28,D
2,Math,Simple,What is 21 - 8?,15,12,13,14,C
2,Math,Simple,What is 40 - 2?,40,39,38,37,C
2,Math,Hard,What is 8 × 10?,79,80,82,81,B
2,Math,Hard,What is 12 × 3?,36,35,37,38,A
2,Math,Hard,What is 7 × 3?,22,21,20,23,B
2,Math,Hard,What is 3 × 6?,20,17,18,19,C
2,Math,Hard,What is 9 × 9?,80,83,81,82,C
2,Math,Easy,What is 12 + 10?,22,24,23,21,A
2,Math,Simple,What is 35 - 4?,33,31,30,32,B
2,Math,Hard,What is 7 × 9?,65,62,64,63,D
2,Math,Easy,What is 10 + 16?,26,27,25,28,A
2,Math,Simple,What is 17 - 9?,9,7,8,10,C
2,Math,Easy,What is 10 + 20?,30,29,31,32,A
2,Math,Easy,What is 16 + 5?,21,20,23,22,A
2,Math,Simple,What is 38 - 4?,34,36,35,33,A
2,Math,Hard,What is 11 × 2?,21,24,23,22,D
2,Math,Easy,What is 7 + 16?,25,23,22,24,B
2,Math,Easy,What is 15 + 19?,35,36,34,33,C
2,Math,Simple,What is 31 - 1?,31,30,29,32,B
2,Math,Easy,What is 3 + 14?,17,18,16,19,A
2,Math,Easy,What is 11 + 7?,17,19,18,20,C
2,Math,Easy,What is 19 + 14?,35,32,33,34,C
2,Math,Easy,What is 3 + 15?,20,18,19,17,B
2,Math,Simple,What is 17 - 8?,8,11,10,9,D
2,Math,Simple,What is 37 - 1?,35,36,38,37,B
2,Math,Simple,What is 37 - 7?,30,31,32,29,A
2,Math,Simple,What is 40 - 8?,33,34,32,31,C
2,Math,Hard,What is 3 × 5?,15,14,17,16,A
2,Math,Hard,What is 6 × 4?,26,23,24,25,C
2,Math,Easy,What is 20 + 20?,41,42,39,40,D
2,Math,Simple,What is 12 - 9?,3,5,2,4,A
2,Math,Hard,What is 12 × 2?,26,23,24,25,C
2,Math,Simple,What is 40 - 10?,30,31,32,29,A
2,Math,Simple,What is 16 - 8?,10,8,7,9,B
2,Math,Hard,What is 4 × 4?,18,16,15,17,B
2,Math,Hard,What is 2 × 4?,10,9,8,7,C
2,Math,Hard,What is 7 × 6?,41,43,44,42,D
2,Math,Easy,What is 8 + 1?,10,11,9,8,C
2,Math,Simple,What is 30 - 10?,22,19,21,20,D
2,Math,Easy,What is 6 + 15?,21,23,22,20,A
2,Math,Easy,What is 1 + 18?,19,18,21,20,A
2,Math,Simple,What is 22 - 7?,17,16,15,14,C
2,Math,Simple,What is 35 - 7?,29,27,28,30,C
2,Math,Hard,What is 2 × 6?,11,12,13,14,B
2,Math,Simple,What is 14 - 1?,14,15,13,12,C
2,Math,Easy,What is 15 + 17?,34,31,33,32,D
2,Math,Simple,What is 24 - 8?,17,16,18,15,B
2,Math,Simple,What is 26 - 1?,26,25,27,24,B
2,Math,Simple,What is 16 - 9?,7,8,6,9,A
2,Math,Easy,What is 19 + 1?,19,20,22,21,B
2,Math,Easy,What is 5 + 17?,24,21,23,22,D
2,Math,Simple,What is 32 - 3?,31,28,29,30,C
2,Math,Hard,What is 2 × 9?,20,18,17,19,B
2,Math,Hard,What is 5 × 8?,41,42,39,40,D
2,Math,Simple,What is 28 - 2?,26,28,25,27,A
2,Math,Hard,What is 12 × 6?,73,74,71,72,D
2,Math,Easy,What is 18 + 19?,39,36,38,37,D
2,Math,Easy,What is 13 + 2?,16,14,17,15,D
2,Math,Simple,What is 35 - 9?,28,25,26,27,C
2,Math,Easy,What is 2 + 18?,22,21,20,19,C
2,Math,Easy,What is 19 + 20?,41,38,40,39,D
2,Math,Hard,What is 11 × 5?,56,57,54,55,D
2,Math,Simple,What is 25 - 8?,19,18,17,16,C
2,Math,Hard,What is 12 × 9?,109,108,110,107,B
2,Math,Simple,What is 39 - 9?,31,29,30,32,C
2,Math,Hard,What is 5 × 6?,29,30,32,31,B
2,Math,Easy,What is 1 + 16?,18,16,17,19,C
2,Math,Easy,What is 2 + 10?,14,12,11,13,B
2,Math,Easy,What is 6 + 14?,19,20,22,21,B
2,Math,Easy,What is 4 + 3?,6,9,7,8,C
2,Math,Easy,What is 14 + 10?,24,23,25,26,A
2,Math,Simple,What is 22 - 9?,14,13,15,12,B
2,Math,Simple,What is 24 - 4?,22,21,20,19,C
2,Math,Easy,What is 4 + 18?,21,22,24,23,B
2,Math,Simple,What is 35 - 2?,34,33,35,32,B
2,Math,Simple,What is 24 - 10?,16,14,15,13,B
2,Math,Easy,What is 2 + 16?,20,18,17,19,B
2,Math,Simple,What is 26 - 3?,22,23,24,25,B
2,Math,Easy,What is 14 + 20?,34,33,36,35,A
2,Math,Simple,What is 22 - 2?,19,22,21,20,D
2,Math,Simple,What is 37 - 10?,27,26,29,28,A
2,Math,Simple,What is 27 - 8?,21,18,19,20,C
2,Math,Simple,What is 28 - 5?,23,25,24,22,A
2,Math,Hard,What is 8 × 6?,49,47,48,50,C
2,Math,Simple,What is 20 - 3?,18,16,19,17,D
2,Math,Hard,What is 4 × 2?,9,7,8,10,C
2,Math,Easy,What is 18 + 11?,30,28,31,29,D
2,Math,Simple,What is 31 - 6?,26,25,27,24,B
2,Math,Easy,What is 10 + 6?,16,15,18,17,A
2,Math,Easy,What is 15 + 6?,21,20,22,23,A
2,Math,Simple,What is 24 - 5?,19,18,21,20,A
2,Math,Easy,What is 7 + 20?,27,26,28,29,A
2,Math,Simple,What is 38 - 1?,37,39,38,36,A
2,Math,Simple,What is 31 - 5?,28,27,25,26,D
2,Math,Easy,What is 8 + 8?,17,18,16,15,C
2,Math,Simple,What is 32 - 2?,30,31,29,32,A
2,Math,Simple,What is 18 - 2?,15,17,16,18,C
2,Math,Easy,What is 15 + 18?,33,35,32,34,A
2,Math,Easy,What is 11 + 18?,28,30,29,31,C
2,Math,Easy,What is 20 + 5?,26,27,24,25,D
2,Math,Simple,What is 37 - 8?,30,29,31,28,B
2,Math,Easy,What is 11 + 13?,24,23,25,26,A
2,Math,Simple,What is 22 - 3?,20,18,19,21,C
2,Math,Easy,What is 17 + 15?,31,33,32,34,C
2,Math,Easy,What is 4 + 8?,12,14,13,11,A
2,Math,Simple,What is 17 - 5?,13,11,12,14,C
2,Math,Simple,What is 27 - 3?,26,23,24,25,C
2,Math,Simple,What is 36 - 9?,28,26,29,27,D
2,Math,Hard,What is 2 × 8?,17,16,18,15,B
2,Math,Easy,What is 12 + 18?,32,30,29,31,B
2,Math,Hard,What is 12 × 10?,122,121,119,120,D
2,Math,Hard,What is 8 × 9?,72,71,73,74,A
2,Math,Simple,What is 30 - 6?,25,24,23,26,B
2,Math,Simple,What is 34 - 6?,28,29,30,27,A
2,Math,Easy,What is 4 + 16?,19,22,21,20,D
2,Math,Simple,What is 38 - 2?,35,36,37,38,B
2,Math,Easy,What is 15 + 15?,29,31,32,30,D
2,Math,Easy,What is 17 + 9?,28,26,25,27,B
2,Math,Simple,What is 25 - 4?,23,20,21,22,C
2,Math,Easy,What is 15 + 2?,18,17,19,16,B
2,Math,Easy,What is 19 + 9?,28,27,29,30,A
2,Math,Easy,What is 11 + 6?,19,16,17,18,C
2,Math,Simple,What is 31 - 7?,25,24,23,26,B
2,Math,Simple,What is 14 - 8?,5,7,8,6,D
2,Math,Simple,What is 11 - 8?,3,4,5,2,A
2,Math,Simple,What is 38 - 6?,32,31,33,34,A
2,Math,Simple,What is 36 - 1?,35,36,34,37,A
2,Math,Easy,What is 3 + 18?,20,22,21,23,C
2,Math,Easy,What is 13 + 9?,22,21,24,23,A
2,Math,Hard,What is 2 × 7?,13,15,16,14,D
2,Math,Easy,What is 9 + 11?,22,20,19,21,B
2,Math,Simple,What is 24 - 7?,19,16,17,18,C
2,Math,Hard,What is 12 × 4?,47,49,50,48,D
2,Math,Easy,What is 12 + 5?,18,19,17,16,C
2,Math,Easy,What is 3 + 19?,22,21,23,24,A
2,Math,Easy,What is 20 + 17?,36,37,39,38,B
2,Math,Easy,What is 4 + 14?,19,17,20,18,D
2,Math,Hard,What is 11 × 6?,68,67,65,66,D
2,Math,Simple,What is 12 - 1?,11,12,13,10,A
2,Math,Easy,What is 9 + 17?,28,25,26,27,C
2,Math,Easy,What is 3 + 12?,14,15,16,17,B
2,Math,Hard,What is 3 × 4?,13,14,12,11,C
2,Math,Simple,What is 36 - 6?,30,31,29,32,A
2,Math,Easy,What is 20 + 3?,24,23,22,25,B
2,Math,Easy,What is 16 + 16?,32,33,34,31,A
2,Math,Easy,What is 12 + 1?,14,13,12,15,B
2,Math,Easy,What is 14 + 7?,21,23,20,22,A
2,Math,Hard,What is 7 × 2?,14,15,16,13,A
2,Math,Hard,What is 12 × 8?,98,95,96,97,C
2,Math,Easy,What is 17 + 2?,20,18,19,21,C
2,Math,Easy,What is 4 + 15?,18,19,21,20,B
2,Math,Easy,What is 18 + 15?,34,33,32,35,B
2,Math,Simple,What is 33 - 10?,23,24,25,22,A
2,Math,Simple,What is 34 - 9?,27,26,24,25,D
2,Math,Simple,What is 34 - 4?,31,30,29,32,B
2,Math,Easy,What is 16 + 18?,35,34,36,33,B
2,Math,Easy,What is 12 + 15?,28,26,27,29,C
2,Math,Simple,What is 10 - 5?,7,5,6,4,B
2,Math,Simple,What is 16 - 4?,13,11,14,12,D
2,Math,Easy,What is 14 + 5?,18,21,19,20,C
2,Math,Hard,What is 9 × 6?,56,55,54,53,C
2,Math,Easy,What is 12 + 16?,29,27,30,28,D
2,Math,Easy,What is 7 + 12?,21,19,18,20,B
2,Math,Simple,What is 33 - 5?,27,30,28,29,C
2,Math,Easy,What is 13 + 5?,18,20,17,19,A
2,Math,Hard,What is 9 × 8?,74,71,73,72,D
2,Math,Easy,What is 20 + 14?,35,33,34,36,C
2,Math,Easy,What is 6 + 16?,23,24,21,22,D
2,Math,Simple,What is 37 - 5?,34,33,32,31,C
2,Math,Hard,What is 8 × 4?,33,32,31,34,B
2,Math,Easy,What is 4 + 10?,14,16,13,15,A
2,Math,Simple,What is 33 - 8?,27,24,25,26,C
2,Math,Easy,What is 15 + 5?,21,19,20,22,C
2,Math,Simple,What is 15 - 1?,14,15,13,16,A
2,Math,Easy,What is 13 + 15?,30,27,28,29,C
3,Math,Easy,What is 12 + 14?,25,28,27,26,D
3,Math,Easy,What is 2 + 5?,8,9,6,7,D
3,Math,Simple,What is 30 - 2?,28,30,29,27,A
3,Math,Simple,What is 19 - 4?,16,15,17,14,B
3,Math,Easy,What is 27 + 9?,36,35,37,38,A
3,Math,Easy,What is 24 + 3?,27,28,26,29,A
3,Math,Simple,What is 15 - 4?,12,11,13,10,B
3,Math,Easy,What is 8 + 17?,24,27,26,25,D
3,Math,Easy,What is 14 + 11?,27,25,26,24,B
3,Math,Simple,What is 56 - 3?,55,54,52,53,D
3,Math,Simple,What is 50 - 3?,48,47,49,46,B
3,Math,Simple,What is 28 - 8?,19,21,20,22,C
3,Math,Easy,What is 12 + 21?,33,35,34,32,A
3,Math,Easy,What is 23 + 25?,49,47,48,50,C
3,Math,Easy,What is 1 + 25?,27,28,26,25,C
3,Math,Simple,What is 22 - 10?,14,13,12,11,C
3,Math,Easy,What is 18 + 2?,21,22,20,19,C
3,Math,Simple,What is 21 - 2?,21,18,19,20,C
3,Math,Easy,What is 23 + 30?,54,52,55,53,D
3,Math,Easy,What is 18 + 17?,37,36,35,34,C
3,Math,Simple,What is 53 - 5?,49,48,50,47,B
3,Math,Easy,What is 29 + 11?,40,39,42,41,A
3,Math,Easy,What is 25 + 3?,30,29,27,28,D
3,Math,Easy,What is 26 + 1?,28,29,26,27,D
3,Math,Simple,What is 49 - 5?,44,45,46,43,A
3,Math,Easy,What is 14 + 14?,28,27,30,29,A
3,Math,Simple,What is 21 - 7?,14,13,15,16,A
3,Math,Easy,What is 20 + 28?,49,47,50,48,D
3,Math,Simple,What is 47 - 4?,42,44,45,43,D
3,Math,Simple,What is 39 - 3?,36,35,38,37,A
3,Math,Simple,What is 42 - 9?,35,33,34,32,B
3,Math,Hard,What is 13 × 4?,52,51,54,53,A
3,Math,Easy,What is 20 + 6?,27,26,28,25,B
3,Math,Easy,What is 24 + 15?,38,41,39,40,C
3,Math,Simple,What is 58 - 2?,55,58,57,56,D
3,Math,Simple,What is 28 - 4?,23,24,26,25,B
3,Math,Simple,What is 55 - 9?,47,45,48,46,D
3,Math,Simple,What is 44 - 8?,37,36,35,38,B
3,Math,Simple,What is 54 - 4?,51,52,50,49,C
3,Math,Simple,What is 54 - 9?,45,47,44,46,A
3,Math,Simple,What is 29 - 5?,26,25,24,23,C
3,Math,Easy,What is 6 + 22?,29,30,27,28,D
3,Math,Easy,What is 29 + 4?,33,32,34,35,A
3,Math,Hard,What is 7 × 7?,49,48,50,51,A
3,Math,Easy,What is 28 + 29?,57,56,58,59,A
3,Math,Easy,What is 9 + 19?,30,28,29,27,B
3,Math,Easy,What is 19 + 22?,42,40,43,41,D
3,Math,Easy,What is 27 + 8?,36,34,35,37,C
3,Math,Simple,What is 47 - 3?,44,46,43,45,A
3,Math,Simple,What is 49 - 10?,41,38,39,40,C
3,Math,Simple,What is 60 - 10?,52,50,49,51,B
3,Math,Easy,What is 3 + 6?,8,11,9,10,C
3,Math,Easy,What is 18 + 25?,43,42,45,44,A
3,Math,Easy,What is 15 + 7?,22,24,21,23,A
3,Math,Simple,What is 30 - 5?,27,26,25,24,C
3,Math,Easy,What is 2 + 24?,28,27,26,25,C
3,Math,Simple,What is 34 - 10?,23,24,26,25,B
3,Math,Easy,What is 22 + 17?,41,39,40,38,B
3,Math,Hard,What is 13 × 6?,78,77,79,80,A
3,Math,Simple,What is 50 - 8?,43,42,41,44,B
3,Math,Simple,What is 45 - 9?,38,36,37,35,B
3,Math,Simple,What is 28 - 10?,20,18,19,17,B
3,Math,Hard,What is 13 × 10?,131,130,129,132,B
3,Math,Simple,What is 22 - 6?,17,16,18,15,B
3,Math,Easy,What is 27 + 20?,46,48,49,47,D
3,Math,Simple,What is 10 - 2?,7,8,10,9,B
3,Math,Simple,What is 59 - 2?,58,59,56,57,D
3,Math,Easy,What is 5 + 14?,20,18,21,19,D
3,Math,Simple,What is 33 - 3?,29,31,32,30,D
3,Math,Simple,What is 16 - 6?,10,12,9,11,A
3,Math,Easy,What is 29 + 23?,51,54,52,53,C
